,name,geom,key,value
303,,POINT (-49.2497286 -25.4588861),amenity,bus_station
304,,POINT (-49.2498335 -25.4585863),amenity,bus_station
305,,POINT (-49.2497858 -25.4586019),amenity,bus_station
306,,POINT (-49.2498891 -25.4588595),amenity,bus_station
307,,POINT (-49.2499368 -25.4588439),amenity,bus_station
308,,POINT (-49.2748707 -25.4360098),amenity,bus_station
309,,POINT (-49.2745322 -25.4357148),amenity,bus_station
310,,POINT (-49.2743344 -25.4355833),amenity,bus_station
311,,POINT (-49.2749661 -25.4358045),amenity,bus_station
312,,POINT (-49.2749273 -25.4357898),amenity,bus_station
313,,POINT (-49.2743061 -25.435618),amenity,bus_station
314,,POINT (-49.2748319 -25.4359951),amenity,bus_station
315,,POINT (-49.2745039 -25.4357495),amenity,bus_station
316,,POINT (-49.2749485 -25.4357978),amenity,bus_station
317,,POINT (-49.2748502 -25.436002),amenity,bus_station
318,,POINT (-49.2704195 -25.4337334),amenity,bus_station
319,,POINT (-49.2701846 -25.43364),amenity,bus_station
320,,POINT (-49.2701528 -25.4337052),amenity,bus_station
321,,POINT (-49.2703877 -25.4337986),amenity,bus_station
322,,POINT (-49.2656073 -25.4321122),amenity,bus_station
323,,POINT (-49.2653951 -25.4320271),amenity,bus_station
324,,POINT (-49.2650507 -25.4332438),amenity,bus_station
325,,POINT (-49.2648387 -25.4331587),amenity,bus_station
326,,POINT (-49.2650079 -25.4328148),amenity,bus_station
327,,POINT (-49.2649138 -25.432777),amenity,bus_station
328,,POINT (-49.2651311 -25.4321628),amenity,bus_station
329,,POINT (-49.2652265 -25.4323698),amenity,bus_station
330,,POINT (-49.2652017 -25.4321911),amenity,bus_station
331,,POINT (-49.2651324 -25.4323321),amenity,bus_station
332,,POINT (-49.2646872 -25.433065),amenity,bus_station
333,,POINT (-49.2647581 -25.4330934),amenity,bus_station
334,,POINT (-49.2651997 -25.4324242),amenity,bus_station
335,,POINT (-49.2651051 -25.4323862),amenity,bus_station
336,,POINT (-49.2649408 -25.4327207),amenity,bus_station
337,,POINT (-49.2650354 -25.4327586),amenity,bus_station
338,,POINT (-49.2600727 -25.4361006),amenity,bus_station
339,,POINT (-49.260097 -25.4372026),amenity,bus_station
340,,POINT (-49.2572056 -25.435898),amenity,bus_station
341,,POINT (-49.2592103 -25.4359153),amenity,bus_station
342,,POINT (-49.2589365 -25.435905),amenity,bus_station
343,,POINT (-49.2601728 -25.4369399),amenity,bus_station
344,,POINT (-49.2600393 -25.4373032),amenity,bus_station
345,,POINT (-49.2601545 -25.4367325),amenity,bus_station
346,,POINT (-49.2601027 -25.4363259),amenity,bus_station
347,,POINT (-49.2601665 -25.4369682),amenity,bus_station
348,,POINT (-49.2608228 -25.4353477),amenity,bus_station
349,,POINT (-49.2608203 -25.4353531),amenity,bus_station
350,,POINT (-49.2608168 -25.4353605),amenity,bus_station
351,,POINT (-49.2608421 -25.43537),amenity,bus_station
352,,POINT (-49.2609129 -25.4353817),amenity,bus_station
353,,POINT (-49.2608792 -25.4353834),amenity,bus_station
354,,POINT (-49.2607995 -25.4353891),amenity,bus_station
355,,POINT (-49.2609072 -25.435394),amenity,bus_station
356,,POINT (-49.2608283 -25.4353999),amenity,bus_station
